name,max_active_power,bus_id
Load_432_4,100.0,4
Load_433_4,100.0,4
Load_434_4,100.0,4
Load_435_2,100.0,2
Load_436_11,100.0,11
Load_437_11,100.0,11
Load_438_1,100.0,1
Load_439_1,100.0,1
Load_440_0,100.0,0
Load_441_8,100.0,8
Load_442_8,100.0,8
Load_443_5,100.0,5
Load_444_5,100.0,5
Load_445_13,100.0,13
Load_446_6,100.0,6
Load_447_6,100.0,6
Load_448_13,100.0,13
Load_449_13,100.0,13
Load_451_13,100.0,13
Load_452_10,100.0,10
Load_453_10,100.0,10
Load_454_3,100.0,3
Load_455_3,100.0,3
Load_456_3,100.0,3
Load_457_13,100.0,13
Load_459_13,100.0,13
Load_460_13,100.0,13
Load_461_13,100.0,13
Load_462_13,100.0,13
Load_463_3,100.0,3
Load_464_3,100.0,3
Load_465_3,100.0,3
Load_466_3,100.0,3
Load_467_3,100.0,3
Load_468_3,100.0,3
Load_469_3,100.0,3
Load_470_13,100.0,13
Load_471_3,100.0,3
Load_472_13,100.0,13
Load_473_13,100.0,13
Load_474_5,100.0,5
Load_475_5,100.0,5
Load_476_5,100.0,5
Load_477_5,100.0,5
Load_478_13,100.0,13
Load_479_12,100.0,12
Load_480_12,100.0,12
Load_481_12,100.0,12
Load_482_12,100.0,12
Load_483_4,100.0,4
Load_484_4,100.0,4
Load_485_4,100.0,4
Load_486_4,100.0,4
Load_487_4,100.0,4
Load_488_1,100.0,1
Load_489_12,100.0,12
Load_490_12,100.0,12
Load_491_4,100.0,4
Load_492_1,100.0,1
Load_493_1,100.0,1
Load_494_1,100.0,1
Load_495_0,100.0,0
Load_2_220kV_5,100.0,5
Load_5_220kV_12,100.0,12
Load_10_220kV_2,100.0,2
Load_12_220kV_2,100.0,2
Load_13_220kV_9,100.0,9
Load_15_220kV_9,100.0,9
Load_18_220kV_6,100.0,6
Load_20_220kV_0,100.0,0
Load_22_220kV_0,100.0,0
Load_24_220kV_0,100.0,0
Load_26_220kV_0,100.0,0
Load_30_220kV_0,100.0,0
Load_32_220kV_7,100.0,7
Load_37_220kV_8,100.0,8
Load_42_220kV_6,100.0,6
Load_46_220kV_2,100.0,2
Load_52_220kV_1,100.0,1
Load_56_220kV_1,100.0,1
Load_61_220kV_5,100.0,5
Load_68_220kV_1,100.0,1
Load_69_220kV_1,100.0,1
Load_74_220kV_2,100.0,2
Load_78_220kV_8,100.0,8
Load_86_220kV_13,100.0,13
Load_87_220kV_13,100.0,13
Load_94_220kV_5,100.0,5
Load_95_220kV_5,100.0,5
Load_96_220kV_13,100.0,13
Load_99_220kV_10,100.0,10
Load_100_220kV_10,100.0,10
Load_104_220kV_3,100.0,3
Load_105_220kV_3,100.0,3
Load_106_220kV_13,100.0,13
Load_107_220kV_13,100.0,13
Load_117_220kV_3,100.0,3
Load_120_220kV_13,100.0,13
Load_123_220kV_3,100.0,3
Load_124_220kV_3,100.0,3
Load_125_220kV_3,100.0,3
Load_128_220kV_10,100.0,10
Load_129_220kV_3,100.0,3
Load_138_220kV_3,100.0,3
Load_143_220kV_13,100.0,13
Load_156_220kV_3,100.0,3
Load_157_220kV_5,100.0,5
Load_159_220kV_5,100.0,5
Load_160_220kV_5,100.0,5
Load_165_220kV_13,100.0,13
Load_184_220kV_3,100.0,3
Load_191_220kV_3,100.0,3
Load_195_220kV_3,100.0,3
Load_201_220kV_5,100.0,5
Load_220_220kV_5,100.0,5
Load_231_220kV_11,100.0,11
Load_232_220kV_4,100.0,4
Load_233_220kV_4,100.0,4
Load_236_220kV_1,100.0,1
Load_247_220kV_4,100.0,4
Load_248_220kV_13,100.0,13
Load_250_220kV_13,100.0,13
Load_251_220kV_13,100.0,13
Load_252_220kV_13,100.0,13
Load_261_220kV_1,100.0,1
Load_263_220kV_4,100.0,4
Load_264_220kV_4,100.0,4
Load_267_220kV_3,100.0,3
Load_272_220kV_0,100.0,0
Load_279_220kV_8,100.0,8
Load_281_220kV_8,100.0,8
Load_282_220kV_8,100.0,8
Load_292_220kV_8,100.0,8
Load_303_220kV_12,100.0,12
Load_307_220kV_1,100.0,1
Load_308_220kV_7,100.0,7
Load_312_220kV_4,100.0,4
Load_315_220kV_4,100.0,4
Load_317_220kV_4,100.0,4
Load_322_220kV_11,100.0,11
Load_332_220kV_9,100.0,9
Load_334_220kV_7,100.0,7
Load_336_220kV_8,100.0,8
Load_338_220kV_9,100.0,9
Load_351_220kV_9,100.0,9
Load_353_220kV_9,100.0,9
Load_360_220kV_10,100.0,10
Load_362_220kV_11,100.0,11
Load_382_220kV_7,100.0,7
Load_384_220kV_7,100.0,7
Load_385_220kV_1,100.0,1
Load_391_220kV_1,100.0,1
Load_403_220kV_11,100.0,11
Load_404_220kV_11,100.0,11
Load_413_220kV_1,100.0,1
Load_421_220kV_1,100.0,1
Load_450_220kV_13,100.0,13
Load_458_220kV_13,100.0,13
