name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,b,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
289,94,95,13.7,3.0,50.0,1636917.0,2.6,61.846,61846.0,1.0,Amprion,Niedersachsen Nord,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,7.88957671235007 52.2773967624078)",0.25,15.214115999999999,1.8553799999999998,0.00026812701617040177,0.7,0,AC,0.00010536091412742382,1.2848891966759001e-05,1711.26619788,380.0
290,159,221,6.85,3.0,50.0,1637160.0,1.3,57.405,57405.0,0.5,TenneT,,0.05,304,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)",0.5,28.24326,3.4443,0.00012443675713273223,0.7,0,AC,0.0001955904432132964,2.3852493074792243e-05,855.633098939,380.0
291,159,221,6.85,3.0,50.0,1637161.0,1.3,57.397,57397.0,0.5,TenneT,,0.05,304,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)",0.5,28.239324,3.4438199999999997,0.00012441941554128442,0.7,0,AC,0.00019556318559556786,2.384916897506925e-05,855.633098939,380.0
292,34,161,11.5,3.0,50.0,1637162.0,1.3,33.166,33166.0,1.0,TenneT,204 rot,0.08,204,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.05283751634017 53.3338809598955)",0.32,9.982966,1.9899599999999997,0.00013024257743619885,0.7,0,AC,0.00020625962809917353,4.111487603305785e-05,495.366530965,220.0
293,222,221,13.7,6.0,50.0,1637163.0,2.6,26.834,26834.0,1.0,TenneT,Diele (DE) - Meeden (NL),0.025,306,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(6.94948397153705 53.1235378223082,7.31136229105814 53.1257665563186)",0.25,6.601164,0.80502,0.00011633606622767134,0.7,0,AC,4.5714432132963984e-05,5.574930747922437e-06,1711.26619788,380.0
294,34,161,11.5,3.0,50.0,1637164.0,1.3,33.17,33170.0,1.0,TenneT,204 blau,0.08,204,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.05283751634017 53.3338809598955)",0.32,9.98417,1.9902,0.00013025828539946682,0.7,0,AC,0.00020628450413223142,4.11198347107438e-05,495.366530965,220.0
295,211,52,,3.0,50.0,1638847.0,,152.12,152120.0,0.5,Amprion,Kaiserslautern Süd,,,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(7.23579344536789 49.3693923629482,8.3133401659254 49.0090434643525)",,74.84304,9.1272,0.0003297503613802148,0.7,0,AC,0.0005183036011080333,6.320775623268698e-05,855.633098939,380.0
296,215,223,,3.0,50.0,1638848.0,,73.707,73707.0,1.0,Amprion,Weingarten Ltg,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.40826973550855 49.5285689245626,8.27327814618118 49.0293980916396)",,22.185806999999997,4.42242,0.0002894467121476786,0.7,0,AC,0.00045838444214876025,9.137231404958677e-05,495.366530965,220.0
297,224,215,,3.0,50.0,1638849.0,,28.868,28868.0,1.0,Amprion,Roxheim Süd,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.3523338799966 49.4212743386606,8.40826973550855 49.5285689245626)",,8.689267999999998,1.7320799999999998,0.0001133643709047877,0.7,0,AC,0.00017953033057851236,3.578677685950413e-05,495.366530965,220.0
298,225,224,,3.0,50.0,1638851.0,,63.539,63539.0,1.0,Amprion,Eisbach Süd,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(7.72920197913641 49.4826474297682,8.3523338799966 49.4212743386606)",,19.125239,3.81234,0.0002495170695205524,0.7,0,AC,0.0003951495661157025,7.876735537190082e-05,495.366530965,220.0
